Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gabon,298,313,329,365,368,370,352,331,315,270,251,241,239,266,237,244,248,242,246,241,230,220,220,213,211,199,196
Equatorial Guinea,2,5,5,5,17,52,83,102,168,181,213,206,368,375,363,369,359,346,323,299,310,291,278,268,244,206,184
Ghana,1,2,1,4,6,5,5,6,7,7,7,7,7,6,6,6,6,6,7,77,78,98,105,102,98,151,173
Germany,85,81,79,79,78,75,78,76,87,84,90,94,84,110,127,80,89,91,151,149,143,150,145,144,146,143,140
Peru,117,127,129,131,121,119,116,107,99,97,97,93,94,112,116,115,121,146,158,154,156,171,175,152,138,137,137
Chad,0,0,0,0,0,0,0,0,0,0,0,36,171,177,158,144,127,119,123,115,104,100,121,123,114,128,132
South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,116,148,153,152,150,126
South Africa,129,183,183,192,195,196,199,182,189,196,198,191,217,200,187,182,180,169,169,169,169,169,148,123,120,119,119
Denmark,163,174,185,186,208,230,238,300,363,347,372,376,390,379,343,313,288,262,247,223,204,178,168,158,144,140,118
Italy,86,86,89,97,105,114,110,86,96,82,89,101,112,125,124,126,120,102,125,116,115,144,140,143,108,104,116
Brunei,177,178,180,176,166,175,179,204,215,217,189,196,204,210,221,170,157,149,153,169,159,135,127,127,121,113,111
Sudan,0,0,0,0,2,5,10,69,186,209,239,270,343,350,378,464,478,484,486,453,93,135,114,109,106,103,96
Pakistan,64,63,58,62,58,60,58,57,58,65,69,65,67,69,69,75,69,67,69,70,75,85,98,94,90,94,94
Trinidad and Tobago,142,141,139,139,138,132,131,139,141,134,145,162,152,171,178,157,157,153,145,136,117,116,114,109,97,99,87
France,70,68,69,62,55,46,40,42,44,40,39,39,39,35,39,24,26,26,88,84,87,90,93,96,99,84,84
Bolivia,28,29,31,34,37,37,44,40,39,44,46,42,60,61,60,60,50,45,47,49,57,64,68,73,77,76,77
Romania,143,137,142,141,142,140,138,132,128,131,131,124,121,112,104,103,104,100,95,95,91,94,93,90,84,78,76
Cameroon,140,127,108,111,108,124,121,100,85,77,70,67,66,82,86,83,81,77,65,62,63,63,75,98,92,76,69
Netherlands,67,67,103,87,81,77,79,59,55,46,65,65,61,50,42,67,52,46,45,51,67,64,75,73,58,59,58
Turkey,84,76,72,67,67,68,65,59,53,48,47,45,42,44,43,42,43,47,48,46,46,48,50,51,52,52,57
Uzbekistan,66,85,115,160,165,158,161,147,151,154,152,155,141,124,107,112,108,70,90,101,101,93,82,77,70,62,54
Cote dIvoire (IvoryCoast),2,1,7,8,16,19,20,15,11,11,12,19,26,39,62,52,59,58,44,40,38,37,36,29,49,54,52
Cuba,18,22,26,28,32,33,34,40,43,51,48,56,59,53,52,51,53,49,58,60,57,55,55,52,52,52,52
Ukraine,96,92,93,91,92,93,88,85,82,83,84,88,96,98,101,99,92,87,78,73,75,69,61,55,51,49,52
Bahrain,44,53,54,51,45,51,48,48,48,47,47,48,48,45,46,46,46,46,44,45,52,58,61,62,60,56,51
Poland,3,5,5,5,5,6,7,11,14,17,16,16,28,31,33,28,28,25,30,29,36,46,47,47,44,44,46
Tunisia,114,102,96,90,88,85,81,84,81,73,79,78,82,77,78,86,86,81,79,67,66,64,54,40,42,43,45
Papua New Guinea,53,126,110,100,103,80,79,97,70,68,55,50,46,40,48,38,41,40,31,29,27,23,50,58,56,50,45
"Korea, South",0,0,0,0,0,6,8,9,13,12,11,10,9,10,12,14,14,19,27,26,28,26,27,20,34,34,34
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,--,0,52,94,101,100,100,95,88,84,79,79,74,62,49,40,33
Spain,31,24,21,17,10,8,11,6,6,9,10,12,12,11,11,3,3,4,29,27,23,39,38,35,36,33,33
Hungary,46,45,60,58,60,65,50,46,47,46,38,41,43,37,34,28,33,30,30,27,30,32,26,29,31,31,33
Belarus,40,40,40,39,36,36,36,37,37,37,37,36,36,35,35,35,35,34,31,31,31,31,31,26,33,32,31
New Zealand,55,58,55,45,45,66,55,50,45,41,38,29,25,25,23,45,63,59,58,50,46,40,47,48,41,38,31
Syria,483,562,568,588,606,584,576,562,551,518,525,514,491,467,441,415,404,403,420,373,170,75,32,38,37,21,30
Austria,24,22,22,24,22,20,21,19,20,21,22,22,22,20,22,23,23,23,32,32,33,24,27,28,25,24,23
Philippines,8,9,6,3,2,1,1,1,1,8,10,14,25,25,25,25,26,38,35,36,33,39,43,31,28,23,21
Mongolia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,5,6,7,10,14,20,23,23,20,20
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,11,15,11,11,18,18
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,17,17,19,21,19,17,18,18,21,21,20,18
Congo (Kinshasa),26,25,26,30,30,28,27,22,26,24,23,22,21,20,20,22,20,22,21,20,20,20,20,20,20,19,17
Suriname,5,5,6,7,7,5,7,10,10,10,10,10,10,10,12,14,16,16,16,16,16,15,15,17,17,17,17
Estonia,0,0,0,0,0,7,4,3,5,5,6,6,7,7,7,7,8,9,10,11,11,13,13,16,16,16,16
Yemen,182,220,335,345,340,362,388,409,438,441,439,429,404,400,375,319,298,285,280,216,169,131,125,48,22,12,16
Croatia,42,43,46,40,36,36,38,32,30,29,27,27,25,24,22,20,19,21,20,18,17,17,16,15,15,15,15
Albania,11,11,11,10,10,9,6,6,6,6,6,7,7,7,8,6,6,5,11,16,17,17,21,20,23,16,14
Czech Republic,--,2,3,3,4,4,4,8,8,7,8,10,11,12,10,7,7,7,12,12,13,11,14,13,11,14,14
Guatemala,5,7,8,10,13,16,24,23,21,21,18,22,20,17,21,19,18,17,12,11,13,12,12,13,12,14,14
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,15,16,15,15,19,18,13,13
Burma (Myanmar),15,14,14,10,8,9,11,10,12,10,15,15,20,20,23,21,22,18,21,20,20,20,20,15,15,12,11
Japan,20,19,18,18,18,17,17,16,18,17,15,16,17,19,19,20,21,19,19,18,17,17,16,16,12,15,11
Slovakia,--,1,1,1,2,2,1,1,1,2,6,6,7,9,9,5,7,4,9,7,6,8,8,9,9,11,11
Chile,26,26,24,24,21,14,13,12,11,12,11,11,11,10,8,6,7,8,13,13,12,11,9,7,5,6,9
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,20,20,14,13,11,9
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,7,8,10,3,8,8
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,6,8,6,7,8,7,8,7,7
Greece,14,12,11,10,9,10,7,1,6,6,4,3,3,3,3,1,1,1,5,4,4,4,4,4,6,5,6
Sweden,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,7,8,8,7,6,6,5,5,6,6
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,4,4
Lithuania,0,2,3,3,3,4,5,5,6,10,9,8,6,5,4,4,5,4,5,4,5,5,5,5,5,4,4
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,13,11,8,8,7,7,6,5,5,4,4
Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3
Bangladesh,1,1,2,1,2,2,2,2,3,4,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,3
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,3,3,2,2,2,2,2
Jamaica,0,0,0,0,0,0,0,0,0,0,2,3,2,2,5,5,6,7,0,0,0,0,0,0,2,2,2
Costa Rica,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,2,1,0,0,1,1,1,1,2,2,2
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,1,1,1,1
Barbados,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kyrgyzstan,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Georgia,3,2,2,1,1,3,2,2,2,2,1,3,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tajikistan,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,6,6,6,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,5,2,0,0,0,0,0,0,0,0,0
Eritrea,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wake Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleum and Other Liquids (annual),,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Petroleum and Other Liquids,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crude Oil, NGPL, and Other Liquids",,,,,,,,,,,,,,,,,,,,,,,,,,,
