gender,age,job,marital,education,default,housing,loan,contact,term_deposit
female,52,technician,married,basic.9y,no,yes,no,telephone,no
female,41,admin.,married,university.degree,no,yes,no,telephone,no
male,56,technician,married,basic.4y,no,yes,no,telephone,no
male,58,management,unknown,university.degree,no,yes,no,telephone,no
male,32,entrepreneur,married,high.school,no,yes,no,telephone,no
male,38,admin.,single,professional.course,no,no,no,telephone,no
male,57,admin.,married,university.degree,no,no,yes,telephone,no
female,44,admin.,married,university.degree,yes,yes,no,telephone,no
male,42,technician,single,professional.course,yes,no,no,telephone,no
female,57,admin.,married,university.degree,no,yes,yes,telephone,no
male,40,blue-collar,married,basic.9y,no,no,yes,telephone,no
male,35,admin.,married,university.degree,no,yes,no,telephone,no
female,45,blue-collar,married,basic.9y,no,yes,no,telephone,no
male,54,admin.,married,high.school,no,no,no,telephone,no
male,39,housemaid,married,basic.4y,no,no,yes,telephone,no
male,60,admin.,married,high.school,no,no,no,telephone,no
male,53,admin.,single,professional.course,no,no,no,telephone,no
male,55,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,55,technician,married,professional.course,yes,yes,no,telephone,no
male,50,management,married,university.degree,yes,no,yes,telephone,no
female,45,services,married,high.school,yes,yes,no,telephone,no
male,55,unemployed,married,professional.course,yes,yes,yes,telephone,no
female,25,technician,single,university.degree,no,yes,no,telephone,no
male,47,entrepreneur,married,university.degree,yes,no,no,telephone,no
male,51,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,42,blue-collar,married,basic.6y,yes,yes,no,telephone,no
male,42,blue-collar,married,basic.6y,yes,no,no,telephone,no
female,48,admin.,married,high.school,no,no,no,telephone,no
female,37,admin.,married,university.degree,no,no,no,telephone,no
female,44,blue-collar,single,basic.9y,no,yes,no,telephone,no
female,33,admin.,married,unknown,no,yes,no,telephone,no
male,56,admin.,married,basic.9y,no,yes,no,telephone,no
female,44,blue-collar,single,basic.4y,yes,yes,yes,telephone,no
female,41,management,married,basic.6y,no,no,no,telephone,no
female,44,management,divorced,university.degree,no,yes,no,telephone,no
male,47,admin.,married,university.degree,yes,yes,no,telephone,no
female,57,unknown,married,unknown,yes,no,no,telephone,no
female,37,admin.,married,university.degree,yes,yes,no,telephone,no
male,41,blue-collar,divorced,basic.4y,yes,yes,no,telephone,yes
male,55,technician,married,university.degree,no,no,no,telephone,no
female,33,services,married,high.school,yes,yes,no,telephone,no
male,55,management,married,unknown,yes,yes,no,telephone,no
female,42,blue-collar,married,basic.9y,yes,no,no,telephone,no
female,50,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,51,blue-collar,married,basic.4y,yes,yes,yes,telephone,no
female,38,admin.,married,high.school,yes,no,no,telephone,no
male,49,entrepreneur,married,university.degree,yes,yes,no,telephone,yes
male,38,technician,single,university.degree,no,no,yes,telephone,no
male,31,admin.,divorced,high.school,no,no,no,telephone,no
male,41,management,married,basic.6y,no,no,no,telephone,no
female,39,admin.,married,university.degree,no,yes,yes,telephone,no
female,49,technician,married,basic.9y,no,no,no,telephone,yes
male,34,admin.,married,high.school,no,yes,no,telephone,no
female,35,admin.,married,university.degree,no,yes,no,telephone,no
male,57,unknown,married,unknown,yes,yes,no,telephone,no
female,60,admin.,married,unknown,yes,no,yes,telephone,no
male,33,unemployed,married,basic.9y,no,no,no,telephone,no
male,42,blue-collar,married,basic.6y,no,no,yes,telephone,no
female,45,services,married,professional.course,no,yes,no,telephone,no
female,42,management,married,university.degree,no,no,no,telephone,no
female,53,admin.,divorced,university.degree,yes,no,no,telephone,no
female,37,technician,single,professional.course,no,no,no,telephone,no
female,44,blue-collar,married,basic.6y,no,no,no,telephone,no
male,54,services,married,unknown,no,yes,no,telephone,no
male,49,blue-collar,married,basic.4y,no,no,no,telephone,no
male,54,services,married,unknown,no,no,no,telephone,no
male,52,admin.,divorced,university.degree,no,no,no,telephone,no
female,52,admin.,divorced,university.degree,no,no,no,telephone,no
female,43,services,single,high.school,yes,no,no,telephone,no
male,34,housemaid,married,basic.6y,no,yes,no,telephone,no
female,35,admin.,married,high.school,no,yes,no,telephone,no
female,42,entrepreneur,married,unknown,yes,yes,no,telephone,no
female,43,technician,married,unknown,yes,yes,yes,telephone,no
female,60,retired,divorced,university.degree,yes,no,no,telephone,no
male,58,unemployed,married,basic.4y,yes,no,no,telephone,no
female,35,services,divorced,high.school,no,yes,no,telephone,no
male,55,blue-collar,married,basic.9y,yes,yes,no,telephone,no
female,37,management,married,university.degree,no,no,no,telephone,no
female,36,blue-collar,married,high.school,no,no,no,telephone,no
female,52,admin.,divorced,university.degree,no,no,no,telephone,no
female,57,blue-collar,divorced,unknown,yes,yes,no,telephone,no
female,56,admin.,married,unknown,no,yes,no,telephone,no
male,48,blue-collar,divorced,basic.4y,yes,yes,no,telephone,no
male,40,blue-collar,married,high.school,yes,yes,no,telephone,no
male,49,blue-collar,divorced,high.school,no,no,no,telephone,no
male,41,services,married,high.school,no,no,no,telephone,no
male,45,technician,married,high.school,no,yes,no,telephone,no
female,32,admin.,married,university.degree,no,yes,yes,telephone,no
male,42,admin.,married,university.degree,no,no,yes,telephone,no
female,50,admin.,married,basic.6y,no,no,no,telephone,no
female,31,technician,divorced,professional.course,no,yes,yes,telephone,no
male,56,retired,married,basic.4y,no,yes,no,telephone,no
female,41,technician,married,professional.course,yes,yes,no,telephone,yes
female,37,blue-collar,married,basic.6y,no,yes,yes,telephone,no
male,41,technician,married,professional.course,yes,no,no,telephone,no
female,35,blue-collar,married,unknown,no,yes,no,telephone,no
female,37,blue-collar,married,basic.6y,no,yes,no,telephone,no
male,52,management,married,university.degree,no,no,no,telephone,no
female,39,management,divorced,university.degree,no,no,no,telephone,no
male,39,housemaid,married,basic.4y,yes,no,no,telephone,no
female,56,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,34,services,married,high.school,no,yes,no,telephone,no
male,45,blue-collar,married,basic.9y,yes,yes,no,telephone,yes
male,43,unemployed,single,university.degree,no,yes,no,telephone,no
male,56,management,married,unknown,no,yes,no,telephone,no
female,39,management,married,university.degree,no,yes,no,telephone,no
male,53,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,38,unknown,divorced,high.school,yes,yes,no,telephone,no
female,42,blue-collar,married,basic.4y,yes,yes,no,telephone,no
male,42,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,35,admin.,single,high.school,no,yes,no,telephone,no
female,40,admin.,married,university.degree,yes,yes,no,telephone,no
female,51,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,60,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,56,entrepreneur,married,unknown,yes,yes,no,telephone,no
female,39,services,divorced,high.school,yes,yes,no,telephone,no
female,56,entrepreneur,married,unknown,yes,no,no,telephone,no
female,40,blue-collar,married,unknown,no,yes,yes,telephone,no
female,36,blue-collar,married,basic.9y,no,yes,yes,telephone,no
male,51,blue-collar,married,unknown,yes,yes,no,telephone,no
male,51,blue-collar,married,unknown,yes,no,no,telephone,no
female,43,technician,single,professional.course,no,yes,no,telephone,no
male,59,services,married,high.school,no,no,no,telephone,no
male,24,management,single,university.degree,no,yes,no,telephone,no
female,37,blue-collar,single,basic.9y,yes,yes,yes,telephone,no
male,40,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,42,blue-collar,married,basic.9y,yes,no,no,telephone,no
female,39,services,divorced,high.school,yes,no,no,telephone,no
female,37,entrepreneur,married,basic.6y,no,no,no,telephone,no
female,38,services,married,high.school,no,yes,yes,telephone,no
female,56,admin.,divorced,unknown,yes,no,no,telephone,no
male,40,blue-collar,married,unknown,no,no,no,telephone,no
male,54,management,divorced,university.degree,no,yes,no,telephone,no
male,43,blue-collar,married,high.school,yes,no,yes,telephone,no
male,36,services,married,high.school,yes,no,no,telephone,no
male,45,technician,married,university.degree,no,yes,yes,telephone,no
female,42,admin.,single,university.degree,yes,no,no,telephone,no
female,43,services,married,high.school,no,no,no,telephone,no
male,46,management,married,basic.9y,no,no,no,telephone,no
male,44,services,married,high.school,no,yes,yes,telephone,no
female,51,admin.,single,basic.6y,no,no,no,telephone,no
female,28,services,married,high.school,no,yes,no,telephone,no
female,37,blue-collar,married,basic.9y,no,no,no,telephone,no
female,34,technician,married,high.school,no,no,no,telephone,no
female,46,blue-collar,married,basic.6y,yes,yes,no,telephone,no
female,42,blue-collar,married,basic.9y,no,yes,yes,telephone,yes
female,36,admin.,married,university.degree,no,yes,no,telephone,no
female,54,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,57,management,married,university.degree,no,no,no,telephone,no
male,51,technician,married,basic.6y,yes,no,no,telephone,no
female,54,retired,married,high.school,yes,no,no,telephone,no
female,49,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,34,admin.,married,university.degree,no,yes,no,telephone,no
male,41,technician,married,professional.course,no,no,no,telephone,no
male,38,blue-collar,single,basic.9y,no,yes,no,telephone,no
female,45,management,divorced,university.degree,no,no,no,telephone,no
male,42,technician,married,university.degree,no,no,no,telephone,no
female,34,blue-collar,single,basic.9y,yes,yes,no,telephone,no
female,48,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,37,admin.,married,high.school,yes,yes,no,telephone,no
female,34,blue-collar,single,basic.9y,yes,no,no,telephone,no
male,40,admin.,married,basic.9y,yes,yes,no,telephone,no
female,43,blue-collar,married,basic.6y,no,yes,no,telephone,no
female,33,services,married,high.school,no,no,no,telephone,no
male,32,services,single,basic.6y,no,no,no,telephone,no
male,39,blue-collar,married,high.school,no,yes,no,telephone,no
female,43,admin.,married,unknown,no,no,no,telephone,no
female,44,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,35,student,single,university.degree,yes,no,no,telephone,no
male,35,student,single,university.degree,yes,yes,yes,telephone,no
female,35,unemployed,married,professional.course,no,no,no,telephone,no
female,36,services,single,basic.4y,no,no,no,telephone,no
female,35,student,single,university.degree,yes,yes,no,telephone,no
male,36,student,single,basic.9y,no,yes,no,telephone,no
female,55,housemaid,divorced,university.degree,no,no,no,telephone,no
male,59,admin.,married,university.degree,no,no,no,telephone,no
male,57,retired,married,unknown,yes,no,no,telephone,no
male,39,blue-collar,married,professional.course,yes,yes,no,telephone,no
female,39,housemaid,married,basic.4y,yes,yes,no,telephone,no
male,30,blue-collar,single,unknown,no,yes,no,telephone,no
male,30,blue-collar,single,unknown,no,yes,yes,telephone,no
female,50,housemaid,married,basic.4y,yes,no,no,telephone,no
male,40,services,married,high.school,no,no,no,telephone,no
male,35,admin.,married,high.school,no,yes,no,telephone,no
male,43,technician,married,unknown,yes,no,no,telephone,no
male,36,services,single,basic.6y,yes,yes,no,telephone,no
male,46,technician,married,basic.4y,yes,yes,no,telephone,no
female,40,technician,married,basic.9y,no,no,no,telephone,no
female,58,retired,married,university.degree,no,no,no,telephone,no
male,42,technician,married,university.degree,no,no,no,telephone,no
female,35,admin.,single,university.degree,no,no,no,telephone,no
male,43,retired,married,basic.4y,yes,no,no,telephone,no
male,45,blue-collar,married,basic.4y,no,yes,yes,telephone,no
female,39,admin.,married,professional.course,no,yes,no,telephone,no
female,50,services,divorced,professional.course,no,yes,no,telephone,no
female,32,management,divorced,basic.4y,yes,yes,no,telephone,no
male,39,admin.,married,high.school,yes,no,no,telephone,no
male,52,self-employed,married,university.degree,yes,no,no,telephone,no
male,44,admin.,married,professional.course,no,yes,no,telephone,no
female,56,blue-collar,married,basic.4y,no,no,no,telephone,no
female,48,admin.,married,high.school,no,no,no,telephone,no
female,33,services,married,high.school,yes,no,yes,telephone,no
female,43,management,married,university.degree,yes,no,yes,telephone,no
male,57,retired,married,high.school,no,no,no,telephone,no
female,36,technician,single,professional.course,no,no,no,telephone,no
male,34,management,married,university.degree,no,yes,no,telephone,no
male,34,services,single,basic.9y,no,no,no,telephone,no
female,30,technician,married,university.degree,yes,no,no,telephone,no
female,33,services,divorced,unknown,no,no,no,telephone,no
female,32,technician,single,professional.course,no,no,no,telephone,no
female,36,technician,single,high.school,no,yes,no,telephone,no
female,36,blue-collar,single,high.school,no,no,yes,telephone,no
male,33,services,single,high.school,no,no,no,telephone,no
male,40,technician,divorced,professional.course,no,no,no,telephone,no
female,41,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,51,services,married,basic.6y,no,yes,no,telephone,no
male,36,technician,married,professional.course,no,yes,no,telephone,no
male,28,services,married,unknown,no,no,no,telephone,no
female,53,services,married,high.school,no,yes,yes,telephone,no
female,58,blue-collar,married,basic.9y,yes,yes,no,telephone,no
female,45,management,married,basic.9y,no,no,yes,telephone,no
male,43,technician,married,unknown,no,yes,no,telephone,no
male,33,admin.,married,high.school,no,no,yes,telephone,no
female,33,admin.,married,high.school,no,no,yes,telephone,no
female,27,blue-collar,single,basic.6y,no,yes,yes,telephone,no
female,42,technician,married,high.school,no,no,no,telephone,no
male,43,admin.,divorced,basic.9y,no,no,no,telephone,no
female,42,admin.,married,university.degree,no,no,no,telephone,no
female,27,blue-collar,single,basic.6y,no,no,no,telephone,no
female,34,self-employed,single,university.degree,no,yes,no,telephone,no
male,31,student,single,university.degree,yes,no,no,telephone,no
male,54,management,divorced,university.degree,no,no,no,telephone,no
male,40,self-employed,married,basic.4y,yes,no,no,telephone,no
female,52,unemployed,married,high.school,yes,yes,no,telephone,no
male,47,management,divorced,university.degree,no,no,no,telephone,no
male,49,housemaid,married,basic.9y,yes,no,no,telephone,no
female,32,admin.,single,high.school,no,no,no,telephone,no
male,49,housemaid,single,high.school,yes,yes,yes,telephone,no
female,50,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,34,services,married,high.school,no,no,no,telephone,no
female,55,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,47,technician,single,basic.9y,no,no,no,telephone,no
female,51,retired,married,professional.course,no,no,no,telephone,no
female,47,blue-collar,married,basic.6y,no,no,no,telephone,no
male,56,technician,married,basic.4y,no,yes,no,telephone,no
male,53,admin.,married,basic.9y,no,no,no,telephone,no
male,36,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,42,blue-collar,divorced,basic.9y,no,yes,no,telephone,no
female,44,blue-collar,divorced,basic.6y,no,no,no,telephone,no
female,39,housemaid,married,basic.9y,no,yes,no,telephone,yes
female,37,admin.,single,high.school,no,yes,yes,telephone,no
female,60,blue-collar,married,unknown,yes,yes,no,telephone,no
male,36,services,married,high.school,no,no,no,telephone,no
male,42,management,divorced,university.degree,no,yes,no,telephone,no
female,31,admin.,married,high.school,no,yes,yes,telephone,no
male,53,technician,divorced,professional.course,yes,no,yes,telephone,no
female,45,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,37,technician,single,professional.course,no,yes,no,telephone,no
female,47,self-employed,married,professional.course,no,no,no,telephone,no
female,49,blue-collar,divorced,high.school,no,no,yes,telephone,no
male,36,admin.,married,university.degree,no,yes,no,telephone,no
male,35,services,divorced,high.school,no,no,no,telephone,no
male,38,unknown,married,unknown,yes,no,no,telephone,no
female,38,services,single,high.school,yes,no,no,telephone,no
female,50,blue-collar,divorced,high.school,yes,no,yes,telephone,no
male,59,retired,married,professional.course,yes,no,no,telephone,no
male,43,unknown,married,unknown,no,yes,no,telephone,no
female,42,admin.,married,high.school,no,yes,no,telephone,no
female,40,admin.,married,basic.6y,yes,yes,no,telephone,no
female,46,blue-collar,married,unknown,yes,no,no,telephone,no
male,57,housemaid,divorced,basic.4y,no,yes,yes,telephone,no
female,42,admin.,married,university.degree,no,yes,no,telephone,no
female,41,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,54,management,divorced,university.degree,no,yes,no,telephone,no
female,27,admin.,single,university.degree,no,no,no,telephone,no
female,36,admin.,married,high.school,no,no,no,telephone,no
female,58,blue-collar,married,professional.course,yes,yes,no,telephone,no
male,40,management,married,university.degree,yes,yes,no,telephone,no
female,34,admin.,single,basic.9y,yes,no,no,telephone,no
male,33,admin.,divorced,high.school,no,no,no,telephone,no
female,56,retired,married,basic.6y,no,no,no,telephone,no
male,42,blue-collar,married,basic.9y,no,no,no,telephone,no
male,43,services,married,high.school,no,yes,no,telephone,no
male,54,management,single,basic.9y,no,yes,no,telephone,no
male,53,admin.,single,basic.6y,no,yes,yes,telephone,no
female,42,technician,single,unknown,no,no,no,telephone,no
female,40,services,married,basic.6y,yes,no,no,telephone,no
male,54,technician,married,professional.course,no,yes,yes,telephone,no
male,40,housemaid,single,professional.course,no,no,no,telephone,no
male,26,admin.,single,university.degree,no,yes,no,telephone,no
female,33,admin.,married,high.school,no,no,no,telephone,no
male,35,blue-collar,married,basic.9y,yes,no,no,telephone,no
female,36,admin.,married,high.school,no,no,no,telephone,no
male,29,services,single,high.school,no,yes,no,telephone,no
male,36,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,35,management,married,high.school,no,yes,no,telephone,no
male,50,self-employed,single,university.degree,no,no,yes,telephone,no
male,46,services,married,high.school,yes,yes,no,telephone,no
female,49,entrepreneur,married,high.school,no,yes,no,telephone,no
female,42,technician,single,professional.course,yes,yes,no,telephone,no
male,36,blue-collar,single,high.school,no,yes,yes,telephone,no
female,55,blue-collar,married,basic.9y,yes,yes,no,telephone,no
female,41,management,married,university.degree,yes,no,no,telephone,no
female,57,management,married,professional.course,yes,yes,no,telephone,no
male,32,services,single,high.school,no,yes,no,telephone,no
male,49,admin.,married,basic.9y,no,no,no,telephone,no
female,57,unknown,married,unknown,yes,yes,no,telephone,no
female,58,blue-collar,divorced,basic.4y,no,yes,no,telephone,no
male,52,technician,married,high.school,no,yes,no,telephone,no
female,50,services,divorced,professional.course,no,no,no,telephone,no
female,41,blue-collar,single,basic.9y,yes,yes,no,telephone,no
male,33,entrepreneur,married,university.degree,no,yes,no,telephone,no
female,57,blue-collar,married,basic.4y,no,no,no,telephone,no
male,48,blue-collar,married,basic.6y,yes,no,no,telephone,no
female,55,technician,married,professional.course,no,no,no,telephone,no
female,38,management,married,university.degree,no,no,no,telephone,no
male,38,services,married,high.school,no,yes,no,telephone,no
female,53,admin.,married,university.degree,no,yes,no,telephone,no
male,43,unemployed,single,university.degree,no,no,no,telephone,no
female,36,blue-collar,single,high.school,no,no,no,telephone,no
male,32,blue-collar,married,basic.9y,no,no,no,telephone,no
female,33,services,married,basic.4y,no,no,no,telephone,no
male,58,entrepreneur,married,basic.4y,no,yes,no,telephone,no
female,40,unemployed,divorced,high.school,yes,no,no,telephone,no
male,57,management,married,university.degree,no,yes,no,telephone,no
female,45,technician,married,high.school,no,yes,no,telephone,no
male,42,blue-collar,married,basic.4y,yes,yes,no,telephone,no
male,46,admin.,married,university.degree,no,yes,no,telephone,no
female,36,technician,married,university.degree,no,no,no,telephone,no
female,41,self-employed,married,high.school,no,yes,no,telephone,no
female,57,admin.,divorced,basic.9y,no,no,no,telephone,no
female,49,blue-collar,married,basic.9y,yes,yes,no,telephone,no
male,56,management,divorced,high.school,no,no,no,telephone,no
female,37,blue-collar,married,basic.9y,no,no,no,telephone,no
male,37,blue-collar,married,basic.9y,no,no,yes,telephone,no
male,46,admin.,single,high.school,no,yes,no,telephone,no
female,22,blue-collar,single,basic.9y,no,yes,no,telephone,no
male,43,services,married,high.school,no,no,no,telephone,no
female,49,blue-collar,married,unknown,no,no,no,telephone,no
female,41,technician,married,basic.6y,no,yes,no,telephone,no
female,38,admin.,single,university.degree,no,no,no,telephone,no
male,33,admin.,married,basic.9y,no,no,no,telephone,no
female,49,admin.,married,university.degree,no,yes,yes,telephone,no
female,30,blue-collar,single,unknown,no,no,no,telephone,no
male,33,admin.,married,basic.9y,no,yes,no,telephone,no
female,34,management,single,university.degree,no,no,no,telephone,no
female,30,student,single,unknown,yes,no,no,telephone,no
female,59,management,married,basic.4y,yes,yes,yes,telephone,no
male,59,management,married,basic.4y,yes,yes,yes,telephone,no
male,41,self-employed,married,university.degree,no,no,no,telephone,no
male,48,housemaid,married,basic.6y,yes,yes,yes,telephone,no
male,28,unknown,single,unknown,yes,yes,yes,telephone,yes
female,44,services,married,high.school,no,yes,no,telephone,yes
female,59,retired,unknown,university.degree,yes,no,no,telephone,no
female,50,management,married,high.school,yes,no,no,telephone,no
female,35,admin.,married,university.degree,no,no,no,telephone,no
female,42,admin.,married,high.school,no,no,no,telephone,no
female,45,admin.,married,basic.9y,no,no,no,telephone,no
male,36,technician,married,professional.course,no,no,no,telephone,no
female,56,services,married,high.school,yes,no,no,telephone,no
male,29,blue-collar,divorced,basic.4y,no,no,no,telephone,no
male,41,self-employed,married,university.degree,no,yes,yes,telephone,no
female,42,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,52,services,single,high.school,no,no,no,telephone,no
female,48,services,married,high.school,yes,yes,yes,telephone,no
male,31,blue-collar,married,high.school,yes,yes,no,telephone,no
male,43,unemployed,married,university.degree,yes,yes,no,telephone,no
female,36,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,42,entrepreneur,married,university.degree,no,yes,no,telephone,no
male,52,services,divorced,basic.6y,no,no,no,telephone,no
female,39,admin.,married,high.school,no,yes,no,telephone,no
male,36,services,married,high.school,no,no,yes,telephone,no
female,42,blue-collar,married,basic.9y,yes,yes,no,telephone,no
female,41,admin.,married,high.school,no,no,no,telephone,no
male,55,technician,married,basic.4y,no,no,yes,telephone,no
female,30,blue-collar,married,basic.9y,no,no,no,telephone,no
male,57,retired,unknown,basic.4y,no,no,no,telephone,no
female,45,entrepreneur,married,basic.4y,yes,yes,no,telephone,no
female,51,blue-collar,married,basic.4y,yes,yes,yes,telephone,no
male,39,self-employed,single,basic.9y,yes,yes,yes,telephone,no
male,47,admin.,married,high.school,yes,no,no,telephone,no
male,27,services,married,high.school,no,yes,no,telephone,no
male,34,technician,single,university.degree,no,yes,no,telephone,no
male,57,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,43,entrepreneur,married,basic.4y,no,no,no,telephone,no
male,49,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,39,management,married,university.degree,yes,no,no,telephone,no
male,38,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,49,blue-collar,married,basic.9y,no,no,no,telephone,no
female,58,management,married,basic.6y,no,no,no,telephone,no
male,43,technician,married,professional.course,no,yes,no,telephone,no
female,50,unknown,married,unknown,yes,yes,no,telephone,no
female,31,services,married,high.school,yes,no,no,telephone,no
male,43,self-employed,divorced,university.degree,no,no,no,telephone,no
male,43,self-employed,married,basic.9y,yes,no,no,telephone,no
female,30,self-employed,single,university.degree,no,yes,no,telephone,no
male,27,services,single,professional.course,no,yes,yes,telephone,no
female,51,services,married,unknown,yes,no,no,telephone,no
female,37,technician,married,professional.course,no,yes,no,telephone,no
female,46,housemaid,married,basic.9y,no,yes,no,telephone,no
male,35,blue-collar,married,professional.course,no,no,no,telephone,no
male,47,admin.,divorced,university.degree,no,no,no,telephone,no
female,46,management,married,unknown,no,yes,no,telephone,no
female,40,technician,married,professional.course,yes,no,yes,telephone,no
female,26,housemaid,married,university.degree,no,no,no,telephone,no
male,32,blue-collar,divorced,basic.9y,yes,no,no,telephone,no
male,45,management,married,university.degree,no,yes,no,telephone,no
male,34,admin.,married,basic.9y,no,no,no,telephone,no
male,47,blue-collar,married,unknown,yes,no,no,telephone,no
male,42,technician,married,professional.course,no,no,no,telephone,yes
male,57,technician,married,basic.4y,yes,no,yes,telephone,no
male,57,technician,married,basic.4y,yes,no,no,telephone,no
female,38,blue-collar,married,basic.4y,no,no,yes,telephone,no
male,57,technician,married,basic.4y,yes,no,no,telephone,no
female,28,student,single,basic.9y,yes,yes,no,telephone,no
female,60,management,married,university.degree,no,no,no,telephone,no
female,48,admin.,married,university.degree,no,yes,no,telephone,no
male,47,technician,married,professional.course,no,yes,no,telephone,no
male,40,admin.,married,high.school,no,no,no,telephone,no
female,51,management,married,professional.course,yes,yes,no,telephone,no
male,48,unemployed,single,basic.4y,no,yes,no,telephone,no
female,54,housemaid,married,basic.4y,no,no,no,telephone,no
female,40,blue-collar,married,basic.6y,no,no,yes,telephone,no
female,44,admin.,single,basic.9y,yes,no,no,telephone,no
male,42,technician,divorced,high.school,no,no,no,telephone,no
male,52,self-employed,married,university.degree,no,yes,no,telephone,no
male,31,blue-collar,single,basic.9y,no,yes,no,telephone,no
female,32,services,married,high.school,no,no,no,telephone,no
male,44,admin.,married,high.school,no,yes,yes,telephone,no
male,39,management,married,basic.6y,yes,no,no,telephone,no
female,57,management,married,professional.course,yes,yes,no,telephone,no
male,52,admin.,married,basic.4y,no,yes,no,telephone,no
male,42,management,married,university.degree,no,no,no,telephone,yes
female,42,technician,single,professional.course,yes,yes,yes,telephone,no
male,43,management,married,professional.course,no,yes,no,telephone,no
female,31,admin.,divorced,high.school,no,no,no,telephone,no
female,29,admin.,married,university.degree,yes,yes,no,telephone,no
male,57,blue-collar,divorced,basic.4y,no,no,no,telephone,no
female,44,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,59,unknown,married,unknown,yes,no,no,telephone,no
female,39,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,57,retired,married,university.degree,no,no,no,telephone,no
female,41,management,married,unknown,yes,no,no,telephone,no
male,37,technician,single,high.school,yes,no,yes,telephone,no
female,38,services,married,high.school,no,yes,no,telephone,no
male,42,retired,married,basic.4y,no,no,no,telephone,no
female,49,unknown,married,unknown,yes,yes,no,telephone,no
female,54,management,married,basic.6y,yes,yes,yes,telephone,no
male,36,admin.,married,university.degree,no,yes,yes,telephone,no
male,32,admin.,single,university.degree,yes,no,no,telephone,no
male,35,technician,married,professional.course,no,yes,no,telephone,no
male,45,housemaid,married,professional.course,yes,no,no,telephone,no
male,56,technician,married,unknown,no,yes,no,telephone,no
male,34,technician,married,university.degree,no,yes,no,telephone,no
male,41,unemployed,married,basic.9y,yes,no,no,telephone,no
